iter	Passed	Remaining
348	1529346	661694
349	1533691	657296
350	1537383	652621
351	1542069	648370
352	1546817	644142
353	1550425	639440
354	1553964	634718
355	1557632	630053
356	1561502	625475
357	1565619	620999
358	1569525	616443
359	1573569	611943
360	1577587	607436
361	1581628	602941
362	1586038	598587
363	1590220	594148
364	1593868	589513
365	1597832	584998
366	1602294	580668
367	1607074	576450
368	1611380	572061
369	1615682	567672
370	1619366	563067
371	1622863	558404
372	1625949	553607
373	1629176	548866
374	1632915	544305
375	1636550	539713
376	1640243	535145
377	1643751	530523
378	1647537	525994
379	1650924	521344
380	1654856	516871
381	1658150	512203
382	1661751	507636
383	1665441	503102
384	1668866	498492
385	1672774	494031
386	1676189	489430
387	1679968	484939
388	1683852	480482
389	1687511	475964
390	1691146	471444
391	1694381	466819
392	1698016	462309
393	1701645	457803
394	1705153	453268
395	1708316	448648
396	1711549	444054
397	1714714	439449
398	1718086	434904
399	1721317	430329
400	1724931	425855
401	1728577	421394
402	1732127	416914
403	1735310	412351
404	1738921	407895
405	1742069	403336
406	1746084	398982
407	1750069	394623
408	1753857	390222
409	1757408	385772
410	1760951	381325
411	1764167	376812
412	1767458	372321
413	1770995	367887
414	1774429	363437
415	1778098	359039
416	1781703	354631
417	1785302	350226
418	1788863	345818
419	1792555	341439
420	1796058	337027
421	1799650	332636
422	1803290	328258
423	1806751	323851
424	1810415	319485
425	1814060	315118
426	1817310	310687
427	1820609	306270
428	1824141	301897
429	1827714	297534
430	1831172	293157
431	1834751	288803
432	1838272	284444
433	1841785	280087
434	1845402	275749
435	1848584	271351
436	1852015	266995
437	1855621	262667
438	1860036	258456
439	1863153	254066
440	1866455	249707
441	1870447	245443
442	1874323	241165
443	1878161	236885
444	1881950	232600
445	1885877	228334
446	1890102	224106
447	1894103	219851
448	1897486	215527
449	1901188	211243
450	1904386	206906
451	1908148	202635
452	1912185	198394
453	1915764	194108
454	1919640	189854
455	1923523	185603
456	1927081	181322
457	1930334	177017
458	1934084	172761
459	1937315	168462
460	1941006	164206
461	1945045	159982
462	1948822	155737
463	1952624	151496
464	1956497	147263
465	1959864	142994
466	1963748	138765
467	1967352	134519
468	1970964	130276
469	1974468	126029
470	1977891	121781
471	1981147	117525
472	1984432	113276
473	1987772	109033
474	1991057	104792
475	1994759	100576
476	1998359	96356
477	2002048	92144
478	2005821	87937
479	2009166	83715
480	2012369	79490
481	2015658	75273
482	2018982	71061
483	2022742	66867
484	2026284	62668
485	2030202	58483
486	2033876	54292
487	2037143	50093
488	2040811	45907
489	2044497	41724
490	2047731	37534
491	2051379	33355
492	2054982	29178
493	2058523	25002
494	2062092	20829
495	2065903	16660
496	2069656	12492
497	2073072	8325
498	2076327	4160
499	2079721	0
