iter	Logloss
0	0.4956290042
1	0.3597263055
2	0.2681719197
3	0.2057665461
4	0.1632147149
5	0.1338215225
6	0.1120774785
7	0.09510171021
8	0.08424186252
9	0.07643201307
10	0.06973678167
11	0.06602859117
12	0.06242051084
13	0.05951345416
14	0.05738309435
15	0.05534748971
16	0.05412005551
17	0.05319222352
18	0.05237326375
19	0.05169483919
20	0.05118531071
21	0.05073697938
22	0.05022546057
23	0.04987875768
24	0.04953685999
25	0.04926876743
26	0.04906209592
27	0.04874684492
28	0.04859623295
29	0.04846360367
30	0.04833870365
31	0.04823681998
32	0.0479815882
33	0.04782176925
34	0.04775414938
35	0.04763662879
36	0.04754951361
37	0.04739269188
38	0.04732344403
39	0.04726239541
40	0.0472032676
41	0.04709974229
42	0.04703039938
43	0.04694820552
44	0.04688840834
45	0.0468221512
46	0.0467399167
47	0.04668617076
48	0.04661553788
49	0.04652475504
50	0.04648231314
51	0.04640585358
52	0.04632535937
53	0.04626989527
54	0.04620845595
55	0.04614028679
56	0.04610989387
57	0.04606076295
58	0.04601804234
59	0.04598095932
60	0.04596812798
61	0.04592248798
62	0.04587319546
63	0.04578890613
64	0.0457524434
65	0.04570962387
66	0.04567488119
67	0.04564421052
68	0.04556280225
69	0.04554992735
70	0.04554959371
71	0.045526573
72	0.04550553931
73	0.04544955905
74	0.04541714407
75	0.04536718898
76	0.04536100793
77	0.04532088862
78	0.04532055405
79	0.04530978836
80	0.04530961128
81	0.04526838114
82	0.04522095648
83	0.04517166913
84	0.04514279035
85	0.04512482507
86	0.04512466896
87	0.04509724045
88	0.04505456661
89	0.04502023548
90	0.0449635802
91	0.04494492237
92	0.044944188
93	0.04490005199
94	0.04488542542
95	0.04488506574
96	0.0448681071
97	0.0448534215
98	0.04483105165
99	0.04482162307
100	0.04482155734
101	0.04480864547
102	0.04480361961
103	0.04477755432
104	0.04476800181
105	0.0447437949
106	0.04473767688
107	0.04471429449
108	0.04471388164
109	0.04468611589
110	0.04467649723
111	0.04466266023
112	0.04464303037
113	0.04462024386
114	0.04460399119
115	0.04458815197
116	0.04456609805
117	0.04452705938
118	0.04447789883
119	0.04447782039
120	0.0444553272
121	0.04442246398
122	0.04442239653
123	0.04440754443
124	0.04440711496
125	0.0444013269
126	0.04439737687
127	0.04438296973
128	0.04432703137
129	0.04429043536
130	0.04426012184
131	0.0442339786
132	0.04420059011
133	0.0441991716
134	0.04417879976
135	0.04416840136
136	0.04416834267
137	0.04415840867
138	0.04414878847
139	0.04413641842
140	0.0441215939
141	0.04410516385
142	0.04410463271
143	0.0440693219
144	0.04404516994
145	0.04404351118
146	0.04402303361
147	0.04401444628
148	0.0439917709
149	0.04399123663
150	0.04398864441
151	0.04396418859
152	0.04395415814
153	0.04395162997
154	0.04395141917
